Player,Points Per Game,Assists Per Game,Rebounds Per Game,Steals Per Game,Blocks Per Game,Field Goal %,Three Point %,Free Throw %,Minutes Per Game
Jarron Cumberland,0.02287581699346405,0.027777777777777776,0.06802721088435375,0.0,0.0,0.5,0.0,0.0,0.07058823529411765
Cade Cunningham,0.5686274509803921,0.5185185185185185,0.3741496598639456,0.48,0.25,0.416,0.314,0.845,0.7435294117647059
Seth Curry,0.4901960784313726,0.3333333333333333,0.2108843537414966,0.32000000000000006,0.07142857142857144,0.487,0.422,0.872,0.7623529411764706
Seth Curry,0.4901960784313726,0.37037037037037035,0.23129251700680273,0.32000000000000006,0.07142857142857144,0.485,0.4,0.877,0.7952941176470587
Seth Curry,0.48692810457516345,0.24074074074074073,0.17687074829931976,0.36000000000000004,0.07142857142857144,0.493,0.468,0.857,0.6799999999999999
Stephen Curry,0.8333333333333334,0.5833333333333333,0.3537414965986395,0.52,0.14285714285714288,0.437,0.38,0.923,0.788235294117647
Anthony Davis,0.7581699346405228,0.28703703703703703,0.6734693877551021,0.48,0.8214285714285714,0.532,0.186,0.713,0.8023529411764706
Ed Davis,0.029411764705882356,0.018518518518518517,0.14285714285714288,0.04000000000000001,0.10714285714285714,0.688,0.0,0.429,0.12941176470588237
Terence Davis,0.33986928104575165,0.12037037037037036,0.2108843537414966,0.32000000000000006,0.14285714285714288,0.423,0.329,0.818,0.39764705882352935
Gabriel Deck,0.08496732026143791,0.06481481481481481,0.06122448979591837,0.04000000000000001,0.0,0.571,0.5,0.0,0.16470588235294117
Dewayne Dedmon,0.2058823529411765,0.06481481481481481,0.39455782312925175,0.16000000000000003,0.21428571428571427,0.566,0.404,0.75,0.35058823529411764
Sam Dekker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Javin DeLaurier,0.0,0.0,0.06802721088435375,0.4,0.0,0.0,0.0,0.0,0.047058823529411764
DeMar DeRozan,0.9117647058823529,0.4537037037037037,0.3537414965986395,0.36000000000000004,0.10714285714285714,0.504,0.352,0.877,0.8258823529411765
Mamadi Diakite,0.14052287581699346,0.018518518518518517,0.30612244897959184,0.16000000000000003,0.25,0.532,0.0,0.545,0.3176470588235294
Cheick Diallo,0.12091503267973858,0.0,0.272108843537415,0.12,0.0,0.375,0.0,0.833,0.21882352941176472
Hamidou Diallo,0.35947712418300654,0.12037037037037036,0.326530612244898,0.48,0.10714285714285714,0.496,0.247,0.65,0.4917647058823529
Gorgui Dieng,0.11437908496732027,0.07407407407407407,0.1904761904761905,0.12,0.10714285714285714,0.473,0.426,0.731,0.17411764705882354
Spencer Dinwiddie,0.4477124183006536,0.48148148148148145,0.28571428571428575,0.27999999999999997,0.07142857142857144,0.416,0.339,0.774,0.6729411764705883
